ID,LAT,LON,SOILID,StationID,soilcspin,isimveg,isimfire,irrigate,P1,plating day,start year,cycle length,cycles,params
sim7958,-22.25,-48.25,CENEOSAFR2,,1,1,0,0,eucalipto,53,2006,765,1,eucalipto1
sim7959,-22.25,-48.25,CENEOSAFR2,,1,1,0,0,eucalipto,69,2006,749,1,eucalipto1
sim7977,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,54,2006,758,1,eucalipto1
sim7978,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,34,2006,778,1,eucalipto1
sim7979,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,39,2006,773,1,eucalipto1
sim7980,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,93,2006,719,1,eucalipto1
sim7998,-21.75,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,324,2006,773,1,eucalipto1
sim8138,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,160,2005,714,1,eucalipto1
sim8139,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,144,2006,860,1,eucalipto1
sim8140,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,108,2006,710,1,eucalipto1
sim8143,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,124,2006,880,1,eucalipto1
sim8144,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,99,2006,719,1,eucalipto1
sim8157,-21.75,-47.25,CELATOFRN3,,1,1,0,0,eucalipto,278,2006,788,1,eucalipto1
sim8197,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,27,2000,3201,1,eucalipto1
sim8198,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,235,2006,801,1,eucalipto1
sim8199,-22.25,-48.25,CELATOFRN2,,1,1,0,0,eucalipto,197,2006,839,1,eucalipto1
sim8238,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,127,2006,685,1,eucalipto1
sim8239,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,257,2006,779,1,eucalipto1
sim8240,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,102,2006,710,1,eucalipto1
sim8241,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,47,2006,765,1,eucalipto1
sim8242,-22.25,-47.25,CELATOFRN2,,1,1,0,0,eucalipto,57,1992,4964,1,eucalipto1
sim8258,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,227,2006,839,1,eucalipto1
sim8259,-21.75,-47.25,CENEOSAFR3,,1,1,0,0,eucalipto,175,2006,891,1,eucalipto1
