Ano;DOY;hhmm;resto_h;NEE;LE;H;Rg;PAR;Rn;  G;Rain;Tar;UR;Patm;Vh;Dir
2006;78;13.5;46800;-30.7981;642.1665;76.013;1017;2217;803.567;85.3875;0;27.18;63.04;92.879;1.615;79.156
2006;78;14.5;50400;-25.97413;375.23725;-11.031;500.2;1098.333;372.3;8.09375;0;27.08;63.7;92.784;1.149;191.056
2006;78;15.5;54000;-19.00585;397.5745;27.882;602.167;1300.667;432.867;7.4105;0;28.15;57.44;92.703;0.629;160.452
2006;78;16.5;57600;-12.6192;224.3735;-7.425;352.867;737.533;220.7;3.7515;0;27.95;60.63;92.662;1.496;151.83
2006;78;17.5;61200;2.1238;53.28925;-0.294;100.8;225.067;53.27;0.27475;0;26.58;70.37;92.674;2.206;125.504
2006;78;18.5;64800;5.7222;73.19175;-98.13;1.102;2.9;-45.757;-20.81875;16.764;21.15;92.73;92.802;5.368;11.869
2006;78;19.5;68400;11.7;10.43425;-26.861;-0.202;-0.074;-26.103;-9.67625;0.762;20.52;94.13;92.819;2.6;9.353
2006;78;20.5;72000;7.2267;-7.02025;-19.026;-0.57;-0.069;-33.42;-7.37375;0;20.4;96.03;92.862;2.352;89.592
2006;78;21.5;75600;5.83257;-29.5735;-45.251;1.205;-0.07;-82.557;-7.7325;0;20.43;91.1;92.916;2.994;58.367
2006;78;22.5;79200;2.614;-1.78775;-67.524;0.141;-0.066;-77.783;-8.47125;0;20.95;86.8;92.969;3.165;50.302
2006;78;23.5;82800;2.8051;17.0595;-30.601;-0.414;-0.064;-20.747;-7.2055;0;21.37;84.6;92.997;2.993;56.94
2006;79;0.5;0;6.5908;18.08375;-49.337;-1.8;-0.071;-38.307;-7.05375;0;20.94;86.6;92.975;3.329;69.056
2006;79;1.5;3600;6.8244;-0.5605;-26.8;-1.82;-0.069;-34.903;-7.5425;0;20.57;88.4;92.972;2.4;66.061
2006;79;2.5;7200;8.2993;6.2545;-20.392;-1.06;-0.067;-20.333;-6.1955;0;20.74;89.57;92.953;2.477;81.731
2006;79;3.5;10800;7.9504;1.235;-29.038;-1.649;-0.07;-34.36;-6.557;0;20.27;92.97;92.928;2.741;75.215
2006;79;4.5;14400;6.4674;8.28575;-26.394;-1.252;-0.063;-24.34;-6.23175;0;20.32;91.93;92.925;2.781;77.04
2006;79;5.5;18000;5.9414;12.784;-21.374;-0.515;-0.064;-14.363;-5.773;0;20.58;90.33;92.969;2.329;55.385
