SID,BIOMA,ORDEM,TEXTURA,LAT,LON,SLDR,SLRO,SLB,SLLL,SDUL,SSAT,SRGF,SSKS,SBDM,SLOC,SLCL,SLSI,SLCF
AMARGIARN1,AMAZÔNIA,ARGISSOLO,Areia,-4.641675,-66.5708375,0.6,73,10,0.049371572,0.111600945,0.224895695,0.7,5,1.0656175,7.065916667,1.983333333,6.441666667,44.68333333
AMARGIARN1,AMAZÔNIA,ARGISSOLO,Areia,-4.641675,-66.5708375,0.6,73,21,0.043378625,0.092487349,0.194014308,0.7,5,1.148014697,5.3421875,1.486309524,4.797222222,45.57103175
AMARGIARN1,AMAZÔNIA,ARGISSOLO,Areia,-4.641675,-66.5708375,0.6,73,32,0.040677309,0.086851025,0.185547161,0.7,5,1.220181726,3.6140625,1.304546958,5.146180556,42.08139881
AMARGIARN1,AMAZÔNIA,ARGISSOLO,Areia,-4.641675,-66.5708375,0.6,73,42,0.040813064,0.086560665,0.17709614,0.7,5,1.263336177,2.617116402,1.388227513,5.77010582,40.54431217
AMARGIARN1,AMAZÔNIA,ARGISSOLO,Areia,-4.641675,-66.5708375,0.6,73,64,0.040928633,0.086383734,0.169700656,0.7,5,1.310807169,1.586600529,1.754761905,6.245899471,40.42685185
AMARGIARN1,AMAZÔNIA,ARGISSOLO,Areia,-4.641675,-66.5708375,0.6,73,85,0.041113489,0.085865729,0.156370686,0,5,1.370158056,0.301111111,1.871296296,6.966666667,41.08055556
AMARGIARN1,AMAZÔNIA,ARGISSOLO,Areia,-4.641675,-66.5708375,0.6,73,106,0.040538896,0.085173848,0.140978959,0,5,1.382566667,0.2,2,6.5,47.33333333
AMLATOMAG1,AMAZÔNIA,LATOSSOLO,Argilosa,-5.812683598,-58.69596852,0.1,61,4,0.252395417,0.331801416,0.397229644,1,5,1.049445608,2.560989418,49.56269841,19.39708995,16.69338624
AMLATOMAG1,AMAZÔNIA,LATOSSOLO,Argilosa,-5.812683598,-58.69596852,0.1,61,13,0.264237526,0.335818165,0.396545058,1,5,1.046294585,1.857423432,55.3201874,17.51927228,14.184564
AMLATOMAG1,AMAZÔNIA,LATOSSOLO,Argilosa,-5.812683598,-58.69596852,0.1,61,26,0.271001755,0.337210061,0.394588334,0.973446437,3.5,1.045884493,1.395428886,58.84575062,16.21621274,12.92066015
AMLATOMAG1,AMAZÔNIA,LATOSSOLO,Argilosa,-5.812683598,-58.69596852,0.1,61,39,0.272767228,0.336756437,0.392902652,0.831235976,3.5,1.047377403,1.194594944,60.16531501,15.61599226,12.45595552
AMLATOMAG1,AMAZÔNIA,LATOSSOLO,Argilosa,-5.812683598,-58.69596852,0.1,61,53,0.274081946,0.336250479,0.391374592,0.931793418,3.5,1.048713266,1.01258032,61.31310755,15.08590002,12.03428537
AMLATOMAG1,AMAZÔNIA,LATOSSOLO,Argilosa,-5.812683598,-58.69596852,0.1,61,79,0.27569271,0.335508509,0.389315663,0.911799715,3.5,1.050543583,0.77646932,62.82886411,14.38011967,11.51317922
